title,author,short_author,date,genre,tt,publisher,pubplace,extent,editor,pubdate,createdate,authordates,keywords,language,collection,gender,sourcenote,period,shrtcite,filename,filesize,philodocid
Leçons d'anatomie comparée,"Cuvier, Georges, baron, 1769-1832.",Cuvier,1805,traiteessai,prose,"Paris, Baudouin, 1805.",,,,1805,1805,,,,,M,,,TLF,TLF.854.tei,3970861,36
Introduction,"Cuvier, Georges, baron, 1769-1832.",Cuvier,1817,traiteessai,prose,"In le Regne Animal, T.1, Paris, Deterville, 1817.",,,,1817,1817,,,,,M,,,TLF,TLF.877.tei,41570,90
[Le] Voleur,"Darien, Georges, 1862-1921.",Darien,1878,indefini,prose,,,,,1878,,,,Français,,M,,,RRN00143,RRN00143.tei,854028,1012
Lettres de mon moulin ,"Daudet, Alphonse, 1840-1897.",Daudet,1869,conte,prose,Fayard (Arthème) ,Paris ,,,éd. 1869),1869,,,,,M,,,daunc01,daunc01.tei,307932,899
Fromont jeune et Risler aîné,"Daudet, Alphonse, 1840-1897.",Daudet,1874,indefini,prose,,,,,1874,,,,Français,,M,,,RRN00144,RRN00144.tei,605894,971
Jack,"Daudet, Alphonse, 1840-1897.",Daudet,1876,indefini,prose,,,,,1876,,,,Français,,M,,,RRN00145,RRN00145.tei,1107040,995
[Les] Rois en Exil,"Daudet, Alphonse, 1840-1897.",Daudet,1879,indefini,prose,,,,,1879,,,,Français,,M,,,RRN00160,RRN00160.tei,628551,1023
Numa Roumestan,"Daudet, Alphonse, 1840-1897.",Daudet,1881,indefini,prose,,,,,1881,,,,Français,,M,,,RRN00146,RRN00146.tei,535714,1041
[L' ]Evangéliste,"Daudet, Alphonse, 1840-1897.",Daudet,1883,indefini,prose,,,,,1883,,,,Français,,M,,,RRN00151,RRN00151.tei,428941,1068
[L' ]Immortel,"Daudet, Alphonse, 1840-1897.",Daudet,1883,indefini,prose,,,,,1883,,,,Français,,M,,,RRN00152,RRN00152.tei,405997,1069
Sapho,"Daudet, Alphonse, 1840-1897.",Daudet,1884,indefini,prose,,,,,1884,,,,Français,,M,,,RRN00149,RRN00149.tei,365044,1084
Tartarin sur les Alpes,"Daudet, Alphonse, 1840-1897.",Daudet,1885,indefini,prose,,,,,1885,,,,Français,,M,,,RRN00150,RRN00150.tei,299352,1099
[La] Belle-Nivernaise,"Daudet, Alphonse, 1840-1897.",Daudet,1886,indefini,prose,,,,,1886,,,,Français,,M,,,RRN00153,RRN00153.tei,88549,1125
Port-Tarascon,"Daudet, Alphonse, 1840-1897.",Daudet,1890,indefini,prose,,,,,1890,,,,Français,,M,,,RRN00147,RRN00147.tei,266637,1180
Rose et Ninette,"Daudet, Alphonse, 1840-1897.",Daudet,1892,indefini,prose,,,,,1892,,,,Français,,M,,,RRN00148,RRN00148.tei,192307,1219
[La] Petite Paroisse,"Daudet, Alphonse, 1840-1897.",Daudet,1895,indefini,prose,,,,,1895,,,,Français,,M,,,RRN00155,RRN00155.tei,515582,1257
"[La] Fédor, pages de la vie","Daudet, Alphonse, 1840-1897.",Daudet,1897,indefini,prose,,,,,1897,,,,Français,,M,,,RRN00154,RRN00154.tei,61564,1279
[Le] Soutien de famille,"Daudet, Alphonse, 1840-1897.",Daudet,1898,indefini,prose,,,,,1898,,,,Français,,M,,,RRN00158,RRN00158.tei,664545,1296
Souvenirs d'un homme de lettres,"Daudet, Alphonse, 1840-1897.",Daudet,1888,memoires,prose,ABU data file,Paris,,,2007,1888,,,,,M,Pagination does not correspond to the original edition.,,souvenirsl,ABU.souvenirs.tei,224281,1156
Le Petit Chose,"Daudet, Alphonse, 1840-1897.",Daudet,1868,roman,prose,ABU data file,Paris,,,2007,1868,,,,,M,Pagination does not correspond to the original edition.,,petitchosel,ABU.petitchose.tei,502173,890
Avent. de Tartarin de Tarascon,"Daudet, Alphonse, 1840-1897.",Daudet,1872,roman,prose,"In Oeuvres Completes, T.4. Paris, Librairie de France, 1930.",,,,1930,1872,,,,,M,,,TLF,TLF.1210.tei,196101,936
Nabab (Le) ,"Daudet, Alphonse, 1840-1897.",Daudet,1878,roman,prose,Fayard (Arthème) ,Paris ,,,éd.1878),1878,,,,,M,,,daunr03,daunr03.tei,908422,1013
L'Arlésienne,"Daudet, Alphonse, 1840-1897.",Daudet,1872,theatre,prose,"In Oeuvres Completes, T.19. Paris, Librairie de France, 1930.",,,,1930,1872,,,,,M,,,TLF,TLF.1209.tei,123887,937
Etudes esthétiques (1829-1863),"Delacroix, Eugène, 1798-1863.",Delacroix,1829,traite,prose,G. Cres,Paris,,,1923,1829-1863,,,,,M,Pagination does not correspond to the original edition.,,EtudesEsthetiques,CSS.etudes_esthetiques.tei,284896,174
Messeniennes,"Delavigne, Casimir, 1793-1843.",Delavigne,1824,poesie,verse,"In Messeniennes et Poesies Diverses. Paris, Furne, 1835.",,,,1835,1824,,,,,M,,,TLF,TLF.895.tei,89172,142
Louis XI,"Delavigne, Casimir, 1793-1843.",Delavigne,1832,theatre,verse,"Paris, J. N. Barba, 1832.",,,,1832,1832,,,,,M,,,TLF,TLF.938.tei,239917,222
Les enfants d'Edouard,"Delavigne, Casimir, 1793-1843.",Delavigne,1833,theatre,verse,"In Oeuvres Completes, T.3. Paris, Didier, 1854.",,,,1854,1833,,,,,M,,,TLF,TLF.951.tei,185226,243
Sommeil et les rêves,"Delboeuf, Joseph",Delboeuf,1885,indefini,prose,,,,,1885,,,,,,M,,,CP-53,CP-53.tei,442430,1100
Magnétisme animal,"Delboeuf, Joseph",Delboeuf,1890,indefini,prose,,,,,1890,,,,,,M,,,CP-52,CP-52.tei,277671,1181
Quelques considérations sur la psychologie de l' hypnotisme,"Delboeuf, Joseph",Delboeuf,1893,indefini,prose,,,,,1893,,,,,,M,,,CP-51,CP-51.tei,31862,1232
Journal,"Delécluze, E. J. (Etienne Jean), 1781-1863.",Delécluze,1828,memoires,prose,"Paris, Grasset, 1948.",,,,1948,1828,,,,,M,,,TLF,TLF.911.tei,1087255,169
L'homme des champs,"Delille, Jacques, 1738-1813.",Delille,1800,poesie,verse,"Basle, J. Decker, 1800.",,,,1800,1800,,,,,M,,,TLF,TLF.839.tei,189498,2
Huit femmes,"Desbordes-Valmore, Marceline, 1786-1859.",DesbordesValmore,1845,melangeslitteraires,prose,"Nouvelles présentées par Marc Bertrand. Genève: Librarie Droz, 1999.",,,,,1845,,,,,F,,,FWW,FWW.desbordes.huitfemmes.tei,507118,522
Oeuvres poétiques,"Desbordes-Valmore, Marceline, 1786-1859.",DesbordesValmore,1833,poesie,verse,"In Oeuvres Completes, T.1. Paris, Lemerre, 1886.",,,,1886,1833,,,,,F,,,TLF,TLF.952.tei,269568,244
Oeuvres poétiques,"Desbordes-Valmore, Marceline, 1786-1859.",DesbordesValmore,1859,poesie,verse,"In Oeuvres Completes, T.2. Paris, Lemerre, 1886.",,,,1886,1859,,,,,F,,,TLF,TLF.1132.tei,283112,766
Passions de l' âme,"Descartes, René",Descartes,1860,traite,prose,,,,,1860,,,,,,M,,,CP-71,CP-71.tei,286698,790
[Le] Calvaire d' Héloïse Pajadou,"Descaves, Lucien, 1861-1949.",Descaves,1882,indefini,prose,,,,,1882,,,,Français,,M,,,RRN00167,RRN00167.tei,129433,1053
[La] Teigne,"Descaves, Lucien, 1861-1949.",Descaves,1888,indefini,prose,,,,,1888,,,,Français,,M,,,RRN00166,RRN00166.tei,563616,1157
Sous-offs,"Descaves, Lucien, 1861-1949.",Descaves,1889,indefini,prose,,,,,1889,,,,Français,,M,,,RRN00163,RRN00163.tei,775016,1170
Une vieille rate,"Descaves, Lucien, 1861-1949.",Descaves,1892,indefini,prose,,,,,1892,,,,Français,,M,,,RRN00164,RRN00164.tei,196597,1220
[Les] Emmurés,"Descaves, Lucien, 1861-1949.",Descaves,1894,indefini,prose,,,,,1894,,,,Français,,M,,,RRN00168,RRN00168.tei,808803,1244
Soupes,"Descaves, Lucien, 1861-1949.",Descaves,1898,indefini,prose,,,,,1898,,,,Français,,M,,,RRN00162,RRN00162.tei,297524,1297
Traité de la volonté et de ses effets,"Destutt de Tracy, Antoine Louis Claude",DestuttDeTracy,1815,essai,prose,,,,,1815,,,,,,M,,,CP-93,CP-93.tei,654476,80
De la métaphysique de Kant,"Destutt de Tracy, Antoine Louis Claude",DestuttDeTracy,1801,indefini,prose,,,,,1801,,,,,,M,,,CP-86,CP-86.tei,111893,8
"Éléments d'idéologie, Idéologie proprement dite","Destutt de Tracy, Antoine Louis Claude, comte, 1754-1836.",DestuttDeTracy,1801,traiteessai,prose,"Paris, Courcier, 1804.",,,,1804,1801,,,,,M,,,TLF,TLF.842.tei,458500,9
"Éléments d'idéologie, Grammaire","Destutt de Tracy, Antoine Louis Claude, comte, 1754-1836.",DestuttDeTracy,1803,traiteessai,prose,"Paris, Courcier, 1803.",,,,1803,1803,,,,,M,,,TLF,TLF.847.tei,480467,23
"Éléments d'idéologie, De la logique","Destutt de Tracy, Antoine Louis Claude, comte, 1754-1836.",DestuttDeTracy,1805,traiteessai,prose,"Paris, Courcier, 1805.",,,,1805,1805,,,,,M,,,TLF,TLF.855.tei,548570,37
Commentaire sur l'Esprit des lois de Montesquieu,"Destutt de Tracy, Antoine Louis Claude, comte, 1754-1836.",DestuttDeTracy,1807,traiteessai,prose,"Paris, Impr. Didot, 1819.",,,,1819,1807,,,,,M,,,TLF,TLF.857.tei,525823,43
Poèmes et poésies,"Dierx, Léon, 1838-1912.",Dierx,1864,poesie,verse,"In Poesies Completes, T.1. Paris, Lemerre, 1889.",,,,1889,1864,,,,,M,,,TLF,TLF.1165.tei,145149,845
Les levres closes,"Dierx, Léon, 1838-1912.",Dierx,1867,poesie,verse,"In Poesies Completes, T.1. Paris, Lemerre, 1889.",,,,1889,1867,,,,,M,,,TLF,TLF.1182.tei,113108,880
"Ernest, ou le travers du siècle","Drouineau, Gustave",Drouineau,1829,roman,prose,,,,,1829,,,,Français,,M,,,ROM0036,ROM0036.tei,808786,175
En Hollande: lettres à un ami,"Du Camp, Maxime, 1822-1894.",DuCamp,1859,correspondance,prose,"Paris, Poulet-Malassis et de Broise, 1859.",,,,1859,1859,,,,,M,,,TLF,TLF.1133.tei,332383,767
Le Nil: Egypte et Nubie,"Du Camp, Maxime, 1822-1894.",DuCamp,1854,recitvoyage,prose,"Paris, Hachette, 1877.",,,,1877,1854,,,,,M,,,TLF,TLF.1107.tei,583023,709
Mémoires d'un suicidé,"Du Camp, Maxime, 1822-1894.",DuCamp,1853,roman,prose,"Paris, Libr. Nouvelle, 1855.",,,,1855,1853,,,,,M,,,TLF,TLF.1102.tei,554378,687
Agathe,"Ducange, Victor, 1783-1833.",Ducange,1820,roman,prose,,,,,1820,,,,Français,,M,,,ROM0037,ROM0037.tei,407873,106
Isaurine et Jean-Pohl,"Ducange, Victor, 1783-1833.",Ducange,1830,roman,prose,,,,,1830,,,,Français,,M,,,ROM0038,ROM0038.tei,743823,187
Explication de la misère des garçons tailleurs,Dufréne,Dufréne,1810,poesie,verse,V.e André,Troyes,,,[entre 1810-1828],[entre 1810-1828],,,French,Explication de la misère des garçons tailleurs,M,,,Bbl1275,bbl_1275.tei,28712,59
Le Meneur de loups,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1857,roman,prose,,,,,1857,,,,Français,,M,,,ROM0049,ROM0049.tei,536019,741
Capitaine Paul (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1838,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1838),1838,,,,,M,,,dumnr01,dumnr01.tei,395410,349
Acté ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1839,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1839),1839,,,,,M,,,dumnr02,dumnr02.tei,424435,369
Capitaine Pamphile (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1839,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1839),1839,,,,,M,,,dumnr03,dumnr03.tei,439174,370
Aventures de John Davys ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1840,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1840),1840,,,,,M,,,dumnr04,dumnr04.tei,944633,387
Maître d'Armes (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1840,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1840-1841),1840,,,,,M,,,dumnr05,dumnr05.tei,719479,388
Chevalier d'Harmental (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1842,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1842),1842,,,,,M,,,dumnr06,dumnr06.tei,1056487,452
Ascanio ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1843,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1843),1843,,,,,M,,,dumnr07,dumnr07.tei,1069332,473
Amaury ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1844,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1844),1844,,,,,M,,,dumnr08,dumnr08.tei,599998,497
Fernande ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1844,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1844),1844,,,,,M,,,dumnr09,dumnr09.tei,713976,498
Trois Mousquetaires (Les) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1844,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1844),1844,,,,,M,,,dumnr10,dumnr10.tei,1473103,499
Chevalier de Maison-Rouge (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1845,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1845-1846),1845,,,,,M,,,dumnr14,dumnr14.tei,867188,523
Reine Margot (La) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1845,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1845),1845,,,,,M,,,dumnr12,dumnr12.tei,1345380,524
Bâtard de Mauléon (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1846,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1846-1847,1846,,,,,M,,,dumnr17,dumnr17.tei,1312630,575
Dame de Monsoreau (La) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1846,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1846),1846,,,,,M,,,dumnr15,dumnr15.tei,1815238,576
"Mémoires d' un médecin, ","Dumas, Alexandre (père), 1802-1870.",DumasPere,1846,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1846),1846,,,,,M,,,dumnr16,dumnr16.tei,2970666,577
Quarante-Cinq (Les) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1847,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1847),1847,,,,,M,,,dumnr18,dumnr18.tei,1606224,603
Georges ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1848,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1848),1848,,,,,M,,,dumnr19,dumnr19.tei,765383,619
Vicomte de Bragelonne (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1848,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1848-1850),1848,,,,,M,,,dumnr20,dumnr20.tei,4409887,620
Collier de la Reine (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1849,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1849),1849,,,,,M,,,dumnr21,dumnr21.tei,1678570,632
Mille et un Fantômes (Les) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1849,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1849),1849,,,,,M,,,dumnr22,dumnr22.tei,1684642,633
Tulipe Noire (La) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1850,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1850),1850,,,,,M,,,dumnr23,dumnr23.tei,478705,640
Ange Pitou ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1851,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1851),1851,,,,,M,,,dumnr24,dumnr24.tei,1352669,654
Olympe de Clèves ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1851,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1851-1852),1851,,,,,M,,,dumnr25,dumnr25.tei,1650381,655
Comtesse de Charny (La) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1852,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1852),1852,,,,,M,,,dumnr26,dumnr26.tei,3377904,665
Drames de la mer (Les) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1853,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1853),1853,,,,,M,,,dumnr27,dumnr27.tei,337653,688
Ingénue ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1853,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1853-1855),1853,,,,,M,,,dumnr29,dumnr29.tei,1164809,689
Isaac Laquedem ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1853,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1853),1853,,,,,M,,,dumnr28,dumnr28.tei,1133059,690
Mémoires d'une Aveugle (Les) (Madame du Deffand) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1856,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1856-1857),1856,,,,,M,,,dumnr30,dumnr30.tei,802014,726
Capitaine Richard (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1858,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1858),1858,,,,,M,,,dumnr31,dumnr31.tei,507056,755
Aventure d'Amour (Une) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1859,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1859),1859,,,,,M,,,dumnr32,dumnr32.tei,213589,768
Fils du forçat (Le) ,"Dumas, Alexandre (père), 1802-1870.",DumasPere,1865,roman,prose,Le Vasseur (A.) et C,Paris ,,,éd. 1865),1865,,,,,M,,,dumnr33,dumnr33.tei,425360,858
Vingt ans après,"Dumas, Alexandre, 1802-1870",DumasPere,1845,roman,prose,,Paris,,,,1845,,,,,M,Pagination does not correspond to the original edition.,,GAL,GAL.dumas.20.tei,2009389,525
Le comte de Monte-Cristo,"Dumas, Alexandre, 1802-1870.",DumasPere,1846,roman,prose,"Ed. J. H. Bornecque. Paris, Garnier, 1956.",,,,1956,1846,,,,,M,,,TLF,TLF.1065.tei,3269828,574
La dame aux camélias,"Dumas, Alexandre, 1824-1895.",DumasFils,1848,roman,prose,"Paris, Calmann-Levy, (1931).",,,,1931,1848,,,,,M,,,TLF,TLF.1078.tei,419519,618
Le fils naturel,"Dumas, Alexandre, 1824-1895.",DumasFils,1858,theatre,prose,"In Theatre Complet, T.3. Paris, Calmann-Levy, S. D.",,,,,1858,,,,,M,,,TLF,TLF.1129.tei,248721,754
L'ami des femmes,"Dumas, Alexandre, 1824-1895.",DumasFils,1864,theatre,prose,"In Theatre Complet, T.4. Paris, Calmann-Levy.",,,,,1864,,,,,M,,,TLF,TLF.1166.tei,231984,846
Journal intime,"Dupanloup, Félix, 1802-1878.",Dupanloup,1876,memoires,prose,"Ed. L. Branchereau. Paris, Ch. Douniol, 1902.",,,,1902,1876,,,,,M,,,TLF,TLF.1236.tei,461465,996
Essais sur les relations du travail avec le capital,"Dupont-White, Charles Brook, 1807-1878.",DupontWhite,1845,traite,prose,,Paris,,,,1845,,,,,M,Pagination does not correspond to the original edition.,,DupontEssai:relations:travail,CSS.dupont_essai_relations_travail.tei,613409,526
Le malheur d'Henriette Gerard,"Duranty, Louis Émile Demond, 1833-1880.",Duranty,1860,roman,prose,"Paris, Gallimard, 1942.",,,,1942,1860,,,,,M,,,TLF,TLF.1148.tei,778863,791
[La] Cause du beau Guillaume,"Duranty, Louis Émile Demond, 1833-1880.",Duranty,1862,roman,prose,,,,,1862,,,,Français,,M,,,RRN00169,RRN00169.tei,558910,816
[Les] Combats de Françoise du Quesnoy,"Duranty, Louis Émile Demond, 1833-1880.",Duranty,1873,roman,prose,,,,,1873,,,,Français,,M,,,RRN00171,RRN00171.tei,517816,953
Olivier ou le secret,"Duras, Claire de Durfort, duchesse de, 1777-1828.",Duras,1822,roman,prose,"Texte inédit établi, présenté, et commenté par Denise Virieux. Paris: Librarie José Corti, 1971.",,,,,1822 [1971],,,,,F,,,FWW,FWW.duras.olivier.tei,138501,123
Ourika,"Duras, Claire de Durfort, duchesse de, 1777-1828.",Duras,1824,roman,prose,"Paris, Ladvocat, 1826.",,,,1826,1824,,,,,F,,,TLF,TLF.896.tei,83388,143
Edouard,"Duras, Claire de Durfort, duchesse de, 1777-1828.",Duras,1825,roman,prose,"In Ourika, Suivi de Edouard. Paris, Stock, 1950.",,,,1950,1825,,,,,F,,,TLF,TLF.901.tei,215618,151
Discours aux lycéens de Sens,"Durkheim, Emile, 1858-1917.",Durkheim,1883,traite,prose,,Paris,,,,1883,,,,,M,Pagination does not correspond to the original edition.,,DiscoursLyceensSens,CSS.discours_lyceens_sens.tei,23709,1070
"Cours de philosophie fait au Lycée de Sens en 1883-188, 24","Durkheim, Emile, 1858-1917.",Durkheim,1884,traite,prose,Bibliothèque de la Sorbonne,Paris,,,1884,1884,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.Cours_philo_sens_C_D_E.tei,332967,1085
Cours de philosophie fait au Lycée de Sens en 1883-1884,"Durkheim, Emile, 1858-1917.",Durkheim,1884,traite,prose,Bibliothèque de la Sorbonne,Paris,,,1884,1884,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.Cours_philo_sens_A_B.tei,340627,1086
Les règles de la méthode sociologique,"Durkheim, Emile, 1858-1917.",Durkheim,1894,traite,prose,Les Presses universitaires de France,Paris,,,1967,1894,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.durkheim_regles_methode.tei,367117,1245
"Le suicide. Étude de sociologie, 1","Durkheim, Emile, 1858-1917.",Durkheim,1897,traite,prose,Les Presses universitaires de France,Paris,,,1967,1897,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.suicide_Livre_1.tei,298096,1280
"Le suicide. Étude sociologique, 2","Durkheim, Emile, 1858-1917.",Durkheim,1897,traite,prose,Les Presses universitaires de France,Paris,,,1967,1897,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.suicide_Livre_2.tei,426084,1281
"Le suicide. Étude sociologique, 3","Durkheim, Emile, 1858-1917.",Durkheim,1897,traite,prose,Les Presses universitaires de France,Paris,,,1967,1897,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.suicide_Livre_3.tei,288785,1282
"Friedrich Ratzel, Anthropogéographie (1899)","Durkheim, Emile, 1858-1917.",Durkheim,1899,traite,prose,l'Année sociologique,Paris,,,1899,1899,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.durkheim_ratzel_anthro_geo.tei,23043,1314
Division de travail social,"Durkheim, Emile, 1858-1917.",Durkheim,1893,traiteessai,prose,"Paris, Alcan, 1911.",,,,1911,1893,,,,,M,,,TLF,TLF.1327.tei,946113,1233
L'ami Fritz,"Erckmann, Emile, 1822-1899.",Erckmann,1864,roman,prose,"In Contes et Romans Nationaux et Populaires, T.5. Paris, Pauvert, 1962.",,,,1962,1864,,,,,M,,,TLF,TLF.1168.tei,421864,847
Le conscrit de 1813,"Erckmann, Emile, 1822-1899.",Erckmann,1864,roman,prose,"In Contes et Romans Nationaux et Populaires, T.4. Paris, Pauvert, 1962.",,,,1962,1864,,,,,M,,,TLF,TLF.1167.tei,414573,848
Histoire d'un paysan,"Erckmann, Emile, 1822-1899.",Erckmann,1870,roman,prose,"In Contes et Romans Nationaux et Populaires, T.1.2. Paris, Pauvert, 1962.",,,,1962,1870,,,,,M,,,TLF,TLF.1203.tei,2068289,920
Le Magicien,"Esquiros, Alphonse, 1812-1876.",Esquiros,1838,roman,prose,,,,,1838,,,,Français,,M,,,ROM0054,ROM0054.tei,555798,350
L'empreinte,"Estaunié, Édouard, 1862-1942.",Estaunié,1896,roman,prose,"Paris, Perrin, 1923.",,,,1923,1896,,,,,M,,,TLF,TLF.1341.tei,524437,1268
Le Roman d' un jeune homme pauvre,"Feuillet, Octave, 1821-1890.",Feuillet,1858,theatre,prose,,,,,1858,,,,Français,,M,,,ROM0055,ROM0055.tei,189445,756
Les Mystères de Londres,"Féval, Paul, 1816-1887.",Féval,1844,roman,prose,,,,,1844,,,,Français,,M,,,ROM0060,ROM0060.tei,2635205,500
Les Habits noirs,"Féval, Paul, 1816-1887.",Féval,1863,roman,prose,,,,,1863,,,,Français,,M,,,ROM0059,ROM0059.tei,1298599,829
[L' ]Honneur,"Fèvre, Henry, 1864-1937.",Fèvre,1890,indefini,prose,,,,,1890,,,,Français,,M,,,RRN00184,RRN00184.tei,292983,1184
Monsieur Pophilat,"Fèvre, Henry, 1864-1937.",Fèvre,1890,indefini,prose,,,,,1890,,,,Français,,M,,,RRN00183,RRN00183.tei,400542,1185
Galafieu,"Fèvre, Henry, 1864-1937.",Fèvre,1897,indefini,prose,,,,,1897,,,,Français,,M,,,RRN00182,RRN00182.tei,307494,1286
[La] Traversée de l' enfer,"Fèvre, Henry, 1864-1937.",Fèvre,1898,indefini,prose,,,,,1898,,,,Français,,M,,,RRN00185,RRN00185.tei,636773,1298
[Les] Liens factices,"Fèvre, Henry, 1864-1937.",Fèvre,1898,indefini,prose,,,,,1898,,,,Français,,M,,,RRN00187,RRN00187.tei,263583,1299
Catherine d' Overmeire,"Feydeau, Ernest, 1821-1873.",FeydeauErnest,1858,indefini,prose,,,,,1858,,,,Français,,M,,,ROM0056,ROM0056.tei,509922,757
Fanny,"Feydeau, Ernest, 1821-1873.",FeydeauErnest,1858,roman,prose,,,,,1858,,,,Français,,M,,,ROM0057,ROM0057.tei,245170,758
Par la fenêtre,"Feydeau, Georges, 1862-1921.",FeydeauGeorges,1882,theatre,prose,"Bordas, 1988",Paris,,Henri Gidel,,1882,,,,,M,Pagination does not correspond to the original edition.,,GAL,GAL.feydeau1.1.tei,30121,1054
Amour et piano,"Feydeau, Georges, 1862-1921.",FeydeauGeorges,1883,theatre,prose,"Bordas, 1988",Paris,,Henri Gidel,,1883,,,,,M,Pagination does not correspond to the original edition.,,GAL,GAL.feydeau1.2.tei,37899,1071
Gibier de potence,"Feydeau, Georges, 1862-1921.",FeydeauGeorges,1883,theatre,prose,"Bordas, 1988",Paris,,Henri Gidel,,1883,,,,,M,Pagination does not correspond to the original edition.,,GAL,GAL.feydeau1.3.tei,56038,1072
Fiancés en herbe,"Feydeau, Georges, 1862-1921.",FeydeauGeorges,1886,theatre,prose,"Bordas, 1988",Paris,,Henri Gidel,,1886,,,,,M,Pagination does not correspond to the original edition.,,GAL,GAL.feydeau1.4.tei,20680,1126
Tailleur pour dames,"Feydeau, Georges, 1862-1921.",FeydeauGeorges,1886,theatre,prose,"Bordas, 1988",Paris,,Henri Gidel,,1886,,,,,M,Pagination does not correspond to the original edition.,,GAL,GAL.feydeau1.5.tei,147760,1127
La Lycéenne,"Feydeau, Georges, 1862-1921.",FeydeauGeorges,1887,theatre,prose,"Bordas, 1988",Paris,,Henri Gidel,,1887,,,,,M,Pagination does not correspond to the original edition.,,GAL,GAL.feydeau1.6.tei,152619,1139
Chat en poche,"Feydeau, Georges, 1862-1921.",FeydeauGeorges,1888,theatre,prose,"Bordas, 1988",Paris,,Henri Gidel,,1888,,,,,M,Pagination does not correspond to the original edition.,,GAL,GAL.feydeau1.8.tei,163050,1158
